strategy_name,trade_date,portfolio_value,daily_return
top10_momentum_daily,2020-06-02,2.575915,0.000607
top10_momentum_daily,2020-06-03,2.571414,-0.001747
top10_momentum_daily,2020-06-04,2.558688,-0.004949
top10_momentum_daily,2020-06-05,2.603347,0.017454
top10_momentum_daily,2020-06-08,2.628383,0.009617
top10_momentum_daily,2020-06-09,2.674275,0.017460
top10_momentum_daily,2020-06-10,2.744260,0.026170
top10_momentum_daily,2020-06-11,2.598613,-0.053073
top10_momentum_daily,2020-06-12,2.612525,0.005354
top10_momentum_daily,2020-06-15,2.651867,0.015059
top10_momentum_daily,2020-06-16,2.684769,0.012407
top10_momentum_daily,2020-06-17,2.697826,0.004864
top10_momentum_daily,2020-06-18,2.703092,0.001952
top10_momentum_daily,2020-06-19,2.705818,0.001009
top10_momentum_daily,2020-06-22,2.748323,0.015709
top10_momentum_daily,2020-06-23,2.759177,0.003949
top10_momentum_daily,2020-06-24,2.698611,-0.021951
top10_momentum_daily,2020-06-25,2.724775,0.009695
top10_momentum_daily,2020-06-26,2.651369,-0.026940
top10_momentum_daily,2020-06-29,2.694165,0.016141
top10_momentum_daily,2020-06-30,2.769694,0.028034
top10_momentum_daily,2020-07-01,2.788358,0.006739
top10_momentum_daily,2020-07-02,2.821264,0.011801
top10_momentum_daily,2020-07-06,2.910136,0.031501
top10_momentum_daily,2020-07-07,2.897564,-0.004320
top10_momentum_daily,2020-07-08,2.929510,0.011025
top10_momentum_daily,2020-07-09,2.974782,0.015454
top10_momentum_daily,2020-07-10,3.009822,0.011779
top10_momentum_daily,2020-07-13,2.934076,-0.025166
top10_momentum_daily,2020-07-14,2.962951,0.009841
top10_momentum_daily,2020-07-15,2.965891,0.000993
top10_momentum_daily,2020-07-16,2.938421,-0.009262
top10_momentum_daily,2020-07-17,2.945882,0.002539
top10_momentum_daily,2020-07-20,3.058229,0.038137
top10_momentum_daily,2020-07-21,3.010227,-0.015696
top10_momentum_daily,2020-07-22,3.055353,0.014991
top10_momentum_daily,2020-07-23,2.960061,-0.031189
top10_momentum_daily,2020-07-24,2.987321,0.009209
top10_momentum_daily,2020-07-27,3.047733,0.020223
top10_momentum_daily,2020-07-28,2.997839,-0.016371
top10_momentum_daily,2020-07-29,3.066619,0.022943
top10_momentum_daily,2020-07-30,3.083154,0.005392
top10_momentum_daily,2020-07-31,3.108783,0.008313
top10_momentum_daily,2020-08-03,3.165873,0.018364
top10_momentum_daily,2020-08-04,3.192701,0.008474
top10_momentum_daily,2020-08-05,3.203188,0.003285
top10_momentum_daily,2020-08-06,3.242140,0.012161
top10_momentum_daily,2020-08-07,3.183776,-0.018002
top10_momentum_daily,2020-08-10,3.154326,-0.009250
top10_momentum_daily,2020-08-11,3.084842,-0.022028
top10_momentum_daily,2020-08-12,3.221265,0.044223
top10_momentum_daily,2020-08-13,3.235877,0.004536
top10_momentum_daily,2020-08-14,3.236346,0.000145
top10_momentum_daily,2020-08-17,3.321671,0.026364
top10_momentum_daily,2020-08-18,3.349833,0.008479
top10_momentum_daily,2020-08-19,3.339706,-0.003023
top10_momentum_daily,2020-08-20,3.398169,0.017506
top10_momentum_daily,2020-08-21,3.443322,0.013287
top10_momentum_daily,2020-08-24,3.433076,-0.002975
top10_momentum_daily,2020-08-25,3.464302,0.009095
top10_momentum_daily,2020-08-26,3.544272,0.023084
top10_momentum_daily,2020-08-27,3.522246,-0.006215
top10_momentum_daily,2020-08-28,3.557006,0.009869
top10_momentum_daily,2020-08-31,3.650860,0.026386
top10_momentum_daily,2020-09-01,3.683228,0.008866
top10_momentum_daily,2020-09-02,3.690054,0.001853
top10_momentum_daily,2020-09-03,3.459343,-0.062522
top10_momentum_daily,2020-09-04,3.424507,-0.010070
top10_momentum_daily,2020-09-08,3.216687,-0.060686
top10_momentum_daily,2020-09-09,3.362217,0.045242
top10_momentum_daily,2020-09-10,3.301904,-0.017939
top10_momentum_daily,2020-09-11,3.275864,-0.007886
top10_momentum_daily,2020-09-14,3.371501,0.029195
top10_momentum_daily,2020-09-15,3.435347,0.018937
top10_momentum_daily,2020-09-16,3.353660,-0.023778
top10_momentum_daily,2020-09-17,3.315492,-0.011381
top10_momentum_daily,2020-09-18,3.268041,-0.014312
top10_momentum_daily,2020-09-21,3.314885,0.014334
top10_momentum_daily,2020-09-22,3.351720,0.011112
top10_momentum_daily,2020-09-23,3.217194,-0.040136
top10_momentum_daily,2020-09-24,3.247062,0.009284
top10_momentum_daily,2020-09-25,3.339027,0.028323
top10_momentum_daily,2020-09-28,3.405411,0.019881
top10_momentum_daily,2020-09-29,3.414338,0.002621
